canonical_name,matched_name,country_hint,country_code,openalex_id,ror_id,match_status,source_names,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank,in_arwu_2025,in_qs_2027,in_usnews_2026_2027
University of Liverpool,University of Liverpool,United Kingdom,GB,https://openalex.org/I146655781,https://ror.org/04xs57h96,auto,University of Liverpool,101-150,139,169,True,True,True
University of Nottingham,University of Nottingham,United Kingdom,GB,https://openalex.org/I142263535,https://ror.org/01ee9ar58,auto,University of Nottingham,101-150,97,155,True,True,True
University of Oxford,University of Oxford,United Kingdom,GB,https://openalex.org/I40120149,https://ror.org/052gg0110,auto,University of Oxford,6,4,4,True,True,True
University of Reading,University of Reading,United Kingdom,GB,https://openalex.org/I71052956,https://ror.org/05v62cm79,auto,University of Reading,,196,,False,True,False
University of Southampton,University of Southampton,United Kingdom,GB,https://openalex.org/I43439940,https://ror.org/01ryk1543,auto,University of Southampton,151-200,111,125,True,True,True
University of St Andrews,University of St Andrews,United Kingdom,GB,https://openalex.org/I16835326,https://ror.org/02wn5qz54,auto,University of St Andrews,,115,,False,True,False
University of York,University of York,United Kingdom,GB,https://openalex.org/I52099693,https://ror.org/04m01e293,auto,University of York,,158,,False,True,False
City University of Hong Kong,City University of Hong Kong,"Hong Kong, China",HK,https://openalex.org/I168719708,https://ror.org/03q8dnn23,auto,City University Hong Kong; City University of Hong Kong; City University of Hong Kong (CityUHK),99,52,47,True,True,True
The Chinese University of Hong Kong,Chinese University of Hong Kong,"Hong Kong, China",HK,https://openalex.org/I177725633,https://ror.org/00t33hh48,manual,Chinese University Hong Kong; The Chinese University of Hong Kong; The Chinese University of Hong Kong (CUHK),101-150,18,28,True,True,True
The Hong Kong Polytechnic University,Hong Kong Polytechnic University,"Hong Kong, China",HK,https://openalex.org/I14243506,https://ror.org/0030zas98,manual,Hong Kong Polytechnic University; The Hong Kong Polytechnic University,151-200,50,52,True,True,True
The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,"Hong Kong SAR, China",HK,https://openalex.org/I200769079,https://ror.org/00q4vv597,manual,Hong Kong University of Science and Technology; The Hong Kong University of Science and Technology,,33,82,False,True,True
The University of Hong Kong,University of Hong Kong,"Hong Kong, China",HK,https://openalex.org/I889458895,https://ror.org/02zhqgq86,manual,The University of Hong Kong; University of Hong Kong,67,11,40,True,True,True
Universitas Indonesia,University of Indonesia,Indonesia,ID,https://openalex.org/I29617571,https://ror.org/0116zj450,auto,Universitas Indonesia,,191,,False,True,False
"Trinity College Dublin, The University of Dublin",Trinity College Dublin,Ireland,IE,https://openalex.org/I205274468,https://ror.org/02tyrky19,auto,"Trinity College Dublin, The University of Dublin",,75,,False,True,False
University College Dublin,University College Dublin,Ireland,IE,https://openalex.org/I100930933,https://ror.org/05m7pjf47,auto,University College Dublin,,100,,False,True,False
Technion-Israel Institute of Technology,Technion – Israel Institute of Technology,Israel,IL,https://openalex.org/I174306211,https://ror.org/03qryx823,auto,Technion-Israel Institute of Technology,97,,,True,False,False
Tel Aviv University,Tel Aviv University,Israel,IL,https://openalex.org/I16391192,https://ror.org/04mhzgx49,auto,Tel Aviv University,,,193,False,False,True
The Hebrew University of Jerusalem,Hebrew University of Jerusalem,Israel,IL,https://openalex.org/I197251160,https://ror.org/03qxff017,manual,The Hebrew University of Jerusalem,88,,,True,False,False
Weizmann Institute of Science,Weizmann Institute of Science,Israel,IL,https://openalex.org/I53964585,https://ror.org/0316ej306,auto,Weizmann Institute of Science,71,,183,True,False,True
Indian Institute of Technology Bombay (IITB),Indian Institute of Technology Bombay,India,IN,https://openalex.org/I162827531,https://ror.org/02qyf5152,manual,Indian Institute of Technology Bombay (IITB),,134,,False,True,False
Indian Institute of Technology Delhi (IITD),Indian Institute of Technology Delhi,India,IN,https://openalex.org/I68891433,https://ror.org/049tgcd06,manual,Indian Institute of Technology Delhi (IITD),,118,,False,True,False
Alma Mater Studiorum - Università di Bologna,University of Bologna,Italy,IT,https://openalex.org/I9360294,https://ror.org/01111rn36,auto,Alma Mater Studiorum - Università di Bologna; University of Bologna,,123,150,False,True,True
Politecnico di Milano,Politecnico di Milano,Italy,IT,https://openalex.org/I93860229,https://ror.org/01nffqt88,auto,Politecnico di Milano,,87,,False,True,False
Sapienza University of Rome,Sapienza University of Rome,Italy,IT,https://openalex.org/I861853513,https://ror.org/02be6w209,auto,Sapienza University of Rome,101-150,111,155,True,True,True
University of Milan,University of Milan,Italy,IT,https://openalex.org/I189158943,https://ror.org/00wjc7c48,auto,University of Milan,151-200,,160,True,False,True
University of Padua,University of Padua,Italy,IT,https://openalex.org/I138689650,https://ror.org/00240q980,auto,University of Padua,151-200,,175,True,False,True
Hokkaido University,Hokkaido University,Japan,JP,https://openalex.org/I205349734,https://ror.org/02e16g702,auto,Hokkaido University,,179,,False,True,False
